2025-07-18 09:27:18.066 [main] INFO  com.baicha.mywallpaper.MyWallpaperApplication - Starting MyWallpaperApplication using Java 17.0.16 with PID 4620 (C:\Users\12793\Desktop\MyWallpaper\MyWallpaper\target\classes started by 12793 in C:\Users\12793\Desktop\MyWallpaper\MyWallpaper)
2025-07-18 09:27:18.071 [main] INFO  com.baicha.mywallpaper.MyWallpaperApplication - The following 1 profile is active: "test"
2025-07-18 09:27:18.811 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-07-18 09:27:18.814 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-07-18 09:27:18.840 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces.
2025-07-18 09:27:19.430 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8088 (http)
2025-07-18 09:27:19.441 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
2025-07-18 09:27:19.443 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-07-18 09:27:19.443 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
2025-07-18 09:27:19.494 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-18 09:27:19.494 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1375 ms
2025-07-18 09:27:21.064 [main] INFO  c.b.m.e.spring.MybatisPlusApplicationContextAware - Register ApplicationContext instances org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@3e792ce3
2025-07-18 09:27:21.239 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
2025-07-18 09:27:21.255 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8088 (http) with context path '/'
2025-07-18 09:27:21.264 [main] INFO  com.baicha.mywallpaper.MyWallpaperApplication - Started MyWallpaperApplication in 3.833 seconds (process running for 6.09)
2025-07-18 09:27:46.289 [http-nio-8088-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-07-18 09:27:46.290 [http-nio-8088-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-07-18 09:27:46.293 [http-nio-8088-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2025-07-18 09:27:46.575 [http-nio-8088-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-07-18 09:27:46.948 [http-nio-8088-exec-1] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@1735c1b7
2025-07-18 09:27:46.949 [http-nio-8088-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-07-18 09:30:09.227 [http-nio-8088-exec-10] INFO  c.baicha.mywallpaper.service.impl.FilesServiceImpl - 用户id:fb87a3cc-da2d-4aac-80fa-2783f456a2c5 上传文件:1752802208557_好看的头像.jpeg
2025-07-18 09:32:58.042 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-07-18 09:32:58.181 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2025-07-18 09:32:58.306 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-07-18 09:32:58.313 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-07-18 09:33:19.520 [main] INFO  c.baicha.mywallpaper.MyWallpaperApplicationTests - Starting MyWallpaperApplicationTests using Java 17.0.16 with PID 7992 (started by 12793 in C:\Users\12793\Desktop\MyWallpaper\MyWallpaper)
2025-07-18 09:33:19.521 [main] INFO  c.baicha.mywallpaper.MyWallpaperApplicationTests - The following 1 profile is active: "test"
2025-07-18 09:33:20.402 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-07-18 09:33:20.405 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-07-18 09:33:20.436 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 16 ms. Found 0 Redis repository interfaces.
2025-07-18 09:33:23.248 [main] INFO  c.b.m.e.spring.MybatisPlusApplicationContextAware - Register ApplicationContext instances org.springframework.web.context.support.GenericWebApplicationContext@31c2affc
2025-07-18 09:33:23.479 [main] INFO  c.baicha.mywallpaper.MyWallpaperApplicationTests - Started MyWallpaperApplicationTests in 4.382 seconds (process running for 5.641)
2025-07-18 09:33:24.593 [main] INFO  c.baicha.mywallpaper.MyWallpaperApplicationTests - 这是一个测试日志！
2025-07-18 09:33:24.605 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.baicha.mywallpaper.RedisTest]: RedisTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2025-07-18 09:33:24.609 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.baicha.mywallpaper.MyWallpaperApplication for test class com.baicha.mywallpaper.RedisTest
